id,season,city,date,team1,team2,toss_winner,winner,venue,status,score,last_updated
336003,2007/08,Chandigarh,5/3/2008,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",NULL,NULL,NULL
336034,2007/08,Bangalore,5/3/2008,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,Royal Challengers Bangalore,M Chinnaswamy Stadium,NULL,NULL,NULL
336004,2007/08,Mumbai,5/4/2008,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,Mumbai Indians,Dr DY Patil Sports Academy,NULL,NULL,NULL
336005,2007/08,Jaipur,5/4/2008,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,Rajasthan Royals,Sawai Mansingh Stadium,NULL,NULL,NULL
336006,2007/08,Bangalore,5/5/2008,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,Kings XI Punjab,M Chinnaswamy Stadium,NULL,NULL,NULL
336007,2007/08,Chennai,5/6/2008,Chennai Super Kings,Deccan Chargers,Deccan Chargers,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",NULL,NULL,NULL
336008,2007/08,Mumbai,5/7/2008,Mumbai Indians,Rajasthan Royals,Mumbai Indians,Mumbai Indians,Dr DY Patil Sports Academy,NULL,NULL,NULL
336009,2007/08,Delhi,5/8/2008,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,Feroz Shah Kotla,NULL,NULL,NULL
336010,2007/08,Kolkata,5/8/2008,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,Eden Gardens,NULL,NULL,NULL
336011,2007/08,Jaipur,5/9/2008,Rajasthan Royals,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,Sawai Mansingh Stadium,NULL,NULL,NULL
336013,2007/08,Chennai,5/10/2008,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",NULL,NULL,NULL
336014,2007/08,Hyderabad,5/11/2008,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",NULL,NULL,NULL
336015,2007/08,Jaipur,5/11/2008,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,Sawai Mansingh Stadium,NULL,NULL,NULL
336016,2007/08,Chandigarh,5/12/2008,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",NULL,NULL,NULL
336017,2007/08,Kolkata,5/13/2008,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,Eden Gardens,NULL,NULL,NULL
336018,2007/08,Mumbai,5/14/2008,Mumbai Indians,Chennai Super Kings,Mumbai Indians,Mumbai Indians,Wankhede Stadium,NULL,NULL,NULL
336020,2007/08,Delhi,5/15/2008,Delhi Daredevils,Deccan Chargers,Deccan Chargers,Delhi Daredevils,Feroz Shah Kotla,NULL,NULL,NULL
